run_id,timestamp,dataset,aggregation,target,feature_version,split_method,train_period,validation_period,test_period,model,params,train_mae,train_mse,train_rmse,train_r2,validation_mae,validation_mse,validation_rmse,validation_r2,prediction_postprocessing,status,notes
BASE001,2026-09-11T01:37:16,customer_shopping_trends,current_purchase_record,product_sales_amount_usd,v1,random_70_15_15,random_split_train_rows=2730,random_split_validation_rows=585,random_split_test_rows=585,MeanBaseline,{},20.702586644125105,566.5787524319392,23.80291478857031,0.0,20.08193356501049,539.4150611618743,23.225310787196676,-0.011187894108472651,clip_to_zero_for_nonnegative_purchase_amount,success,prediction_postprocessing=clip_to_zero_for_nonnegative_purchase_amount
LR001,2026-09-11T01:37:17,customer_shopping_trends,current_purchase_record,product_sales_amount_usd,v1,random_70_15_15,random_split_train_rows=2730,random_split_validation_rows=585,random_split_test_rows=585,LinearRegressionScratch,"{""learning_rate"": 0.0005, ""epochs"": 3000, ""tol"": 1e-08}",20.555715447047053,559.2722539894896,23.64893769262141,0.012895821474221858,20.060558796007808,538.6995778338587,23.2099025813091,-0.009846648504081568,clip_to_zero_for_nonnegative_purchase_amount,success,prediction_postprocessing=clip_to_zero_for_nonnegative_purchase_amount
LR002,2026-09-11T01:37:17,customer_shopping_trends,current_purchase_record,product_sales_amount_usd,v1,random_70_15_15,random_split_train_rows=2730,random_split_validation_rows=585,random_split_test_rows=585,LinearRegressionScratch,"{""learning_rate"": 0.001, ""epochs"": 3000, ""tol"": 1e-08}",20.436371059242703,553.4110866042741,23.52469099912418,0.02324066296370142,20.002145412951926,537.1375536913957,23.17622820243613,-0.006918476829079312,clip_to_zero_for_nonnegative_purchase_amount,success,prediction_postprocessing=clip_to_zero_for_nonnegative_purchase_amount
LR003,2026-09-11T01:37:17,customer_shopping_trends,current_purchase_record,product_sales_amount_usd,v1,random_70_15_15,random_split_train_rows=2730,random_split_validation_rows=585,random_split_test_rows=585,LinearRegressionScratch,"{""learning_rate"": 0.005, ""epochs"": 3000, ""tol"": 1e-08}",20.111393139671552,540.4793772547206,23.248212345355086,0.046064867531992126,19.97904779153847,539.0403140503101,23.217241740790616,-0.010485392881032674,clip_to_zero_for_nonnegative_purchase_amount,success,prediction_postprocessing=clip_to_zero_for_nonnegative_purchase_amount
LR004,2026-09-11T01:37:18,customer_shopping_trends,current_purchase_record,product_sales_amount_usd,v1,random_70_15_15,random_split_train_rows=2730,random_split_validation_rows=585,random_split_test_rows=585,LinearRegressionScratch,"{""learning_rate"": 0.01, ""epochs"": 3000, ""tol"": 1e-08}",19.981125189349235,536.7625973689354,23.168137546400562,0.05262490860277269,19.993528372265892,542.3312108218865,23.288005728741275,-0.016654510534164446,clip_to_zero_for_nonnegative_purchase_amount,success,prediction_postprocessing=clip_to_zero_for_nonnegative_purchase_amount
TREE001,2026-09-11T01:37:18,customer_shopping_trends,current_purchase_record,product_sales_amount_usd,v1,random_70_15_15,random_split_train_rows=2730,random_split_validation_rows=585,random_split_test_rows=585,DecisionTreeRegressorScratch,"{""max_depth"": 2, ""min_samples_split"": 5}",20.595158697457617,561.7665497136971,23.701614917842562,0.00849344013976261,20.082999381327095,543.1721725592436,23.30605441852489,-0.018230978062512726,clip_to_zero_for_nonnegative_purchase_amount,success,prediction_postprocessing=clip_to_zero_for_nonnegative_purchase_amount
TREE002,2026-09-11T01:37:18,customer_shopping_trends,current_purchase_record,product_sales_amount_usd,v1,random_70_15_15,random_split_train_rows=2730,random_split_validation_rows=585,random_split_test_rows=585,DecisionTreeRegressorScratch,"{""max_depth"": 3, ""min_samples_split"": 10}",20.481967794671345,556.4534152271488,23.58926483015418,0.017871014684771147,20.045729037412592,539.8923828650742,23.23558440980287,-0.012082681745346102,clip_to_zero_for_nonnegative_purchase_amount,success,prediction_postprocessing=clip_to_zero_for_nonnegative_purchase_amount
TREE003,2026-09-11T01:37:18,customer_shopping_trends,current_purchase_record,product_sales_amount_usd,v1,random_70_15_15,random_split_train_rows=2730,random_split_validation_rows=585,random_split_test_rows=585,DecisionTreeRegressorScratch,"{""max_depth"": 4, ""min_samples_split"": 10}",20.326183453880294,550.2971732301978,23.458413698078516,0.02873665687577509,19.925626224952172,534.9136646250631,23.1282006352648,-0.002749572651891574,clip_to_zero_for_nonnegative_purchase_amount,success,prediction_postprocessing=clip_to_zero_for_nonnegative_purchase_amount
